timestamp,sensor_id,location,temperature,humidity
2025-10-25 13:51:19,sensor_D,warehouse_1,22.48,34.3
2025-10-25 13:51:20,sensor_B,warehouse_2,20.43,30.32
2025-10-25 13:51:22,sensor_D,datacenter,23.33,43.71
2025-10-25 13:51:23,sensor_D,office_floor_2,22.38,48.0
2025-10-25 13:51:24,sensor_A,warehouse_2,36.43,40.91
2025-10-25 13:51:25,sensor_E,datacenter,25.93,48.08
2025-10-25 13:51:26,sensor_C,office_floor_2,19.16,44.56
2025-10-25 13:51:28,sensor_A,warehouse_1,22.5,48.21
2025-10-25 13:51:29,sensor_C,office_floor_1,44.94,50.68
2025-10-25 13:51:30,sensor_A,office_floor_2,44.12,35.66
2025-10-25 13:51:31,sensor_A,office_floor_1,26.5,49.71
2025-10-25 13:51:32,sensor_A,warehouse_1,19.62,64.94
2025-10-25 13:51:34,sensor_C,warehouse_2,26.08,58.97
2025-10-25 13:51:35,sensor_A,datacenter,27.7,69.84
2025-10-25 13:51:36,sensor_B,office_floor_2,18.37,59.86
2025-10-25 13:51:37,sensor_E,office_floor_2,39.31,43.69
2025-10-25 13:51:38,sensor_E,office_floor_2,25.25,50.03
2025-10-25 13:51:40,sensor_E,office_floor_2,20.63,67.35
2025-10-25 13:51:41,sensor_D,office_floor_1,19.99,34.25
2025-10-25 13:51:42,sensor_B,warehouse_2,25.71,41.02
2025-10-25 13:51:43,sensor_E,office_floor_2,25.55,67.1
2025-10-25 13:51:44,sensor_D,warehouse_2,26.21,48.8
2025-10-25 13:51:46,sensor_D,datacenter,25.96,39.59
2025-10-25 13:51:47,sensor_D,warehouse_2,18.72,48.88
2025-10-25 13:51:48,sensor_E,warehouse_1,23.86,55.73
2025-10-25 13:51:49,sensor_D,warehouse_2,21.51,61.31
2025-10-25 13:51:50,sensor_E,warehouse_1,41.6,43.37
2025-10-25 13:51:52,sensor_E,office_floor_1,18.84,61.7
2025-10-25 13:51:53,sensor_C,datacenter,20.48,53.41
2025-10-25 13:51:54,sensor_E,warehouse_1,44.45,49.03
2025-10-25 13:51:55,sensor_C,datacenter,26.66,65.67
2025-10-25 13:51:56,sensor_C,office_floor_2,19.23,33.33
2025-10-25 13:51:58,sensor_C,warehouse_2,26.58,59.22
2025-10-25 13:51:59,sensor_E,office_floor_2,25.79,36.2
2025-10-25 13:52:00,sensor_B,office_floor_2,20.88,61.33
2025-10-25 13:52:01,sensor_C,datacenter,27.49,43.95
2025-10-25 13:52:02,sensor_C,datacenter,18.22,30.02
2025-10-25 13:52:04,sensor_A,office_floor_1,24.65,56.57
2025-10-25 13:52:05,sensor_A,warehouse_1,23.9,43.88
2025-10-25 13:52:06,sensor_E,datacenter,19.62,43.07
2025-10-25 13:52:07,sensor_A,datacenter,27.99,39.59
2025-10-25 13:52:08,sensor_E,warehouse_1,18.31,46.11
2025-10-25 13:52:10,sensor_E,office_floor_1,24.61,53.29
2025-10-25 13:52:11,sensor_D,office_floor_2,25.99,66.58
2025-10-25 13:52:12,sensor_B,warehouse_2,36.82,38.48
2025-10-25 13:52:13,sensor_D,warehouse_2,18.37,56.83
2025-10-25 13:52:14,sensor_D,office_floor_2,40.11,52.51
2025-10-25 13:52:16,sensor_B,warehouse_1,25.08,31.13
2025-10-25 13:52:17,sensor_E,datacenter,19.19,67.86
2025-10-25 13:52:18,sensor_D,datacenter,23.85,60.03
