timestamp,sensor_id,location,temperature,humidity
2025-10-25 13:06:19,sensor_A,warehouse_1,22.97,33.76
2025-10-25 13:06:20,sensor_C,warehouse_2,21.3,61.14
2025-10-25 13:06:22,sensor_C,office_floor_2,21.01,65.3
2025-10-25 13:06:23,sensor_D,office_floor_1,19.09,50.07
2025-10-25 13:06:24,sensor_A,datacenter,21.53,51.78
2025-10-25 13:06:25,sensor_D,warehouse_1,22.11,59.72
2025-10-25 13:06:26,sensor_A,datacenter,22.66,30.96
2025-10-25 13:06:28,sensor_C,warehouse_1,18.11,69.61
2025-10-25 13:06:29,sensor_E,office_floor_2,19.46,59.42
2025-10-25 13:06:30,sensor_D,office_floor_1,18.07,36.55
2025-10-25 13:06:31,sensor_A,office_floor_1,18.14,33.37
2025-10-25 13:06:32,sensor_D,office_floor_1,19.19,48.75
2025-10-25 13:06:34,sensor_D,warehouse_2,25.96,49.05
2025-10-25 13:06:35,sensor_C,datacenter,26.16,69.76
2025-10-25 13:06:36,sensor_E,office_floor_2,27.69,63.26
2025-10-25 13:06:37,sensor_B,office_floor_2,22.09,56.7
2025-10-25 13:06:38,sensor_A,datacenter,25.83,55.9
2025-10-25 13:06:40,sensor_E,warehouse_1,27.94,69.34
2025-10-25 13:06:41,sensor_D,datacenter,25.22,39.25
2025-10-25 13:06:42,sensor_C,warehouse_2,26.33,60.58
2025-10-25 13:06:43,sensor_B,office_floor_2,27.93,65.9
2025-10-25 13:06:44,sensor_D,office_floor_1,22.4,64.72
2025-10-25 13:06:46,sensor_A,warehouse_2,22.07,40.89
2025-10-25 13:06:47,sensor_E,warehouse_1,24.28,42.99
2025-10-25 13:06:48,sensor_A,office_floor_2,21.73,38.58
2025-10-25 13:06:49,sensor_C,datacenter,26.06,57.81
2025-10-25 13:06:50,sensor_B,warehouse_1,18.49,58.05
2025-10-25 13:06:52,sensor_C,warehouse_2,27.94,51.98
2025-10-25 13:06:53,sensor_D,warehouse_2,21.8,43.13
2025-10-25 13:06:54,sensor_B,datacenter,20.25,46.56
2025-10-25 13:06:55,sensor_D,warehouse_2,27.96,48.8
2025-10-25 13:06:56,sensor_A,office_floor_2,25.98,58.32
2025-10-25 13:06:58,sensor_C,office_floor_2,22.51,32.62
2025-10-25 13:06:59,sensor_C,datacenter,24.4,42.24
2025-10-25 13:07:00,sensor_A,office_floor_1,27.6,55.66
2025-10-25 13:07:01,sensor_E,office_floor_1,27.26,58.23
2025-10-25 13:07:02,sensor_D,office_floor_1,24.78,37.42
2025-10-25 13:07:04,sensor_C,office_floor_1,19.05,57.38
2025-10-25 13:07:05,sensor_B,datacenter,18.6,47.54
2025-10-25 13:07:06,sensor_D,warehouse_2,23.41,36.09
2025-10-25 13:07:07,sensor_E,office_floor_1,24.16,45.17
2025-10-25 13:07:08,sensor_D,office_floor_2,21.3,57.13
2025-10-25 13:07:10,sensor_B,datacenter,18.43,61.2
2025-10-25 13:07:11,sensor_A,warehouse_1,23.51,33.88
2025-10-25 13:07:12,sensor_D,warehouse_2,23.13,61.85
2025-10-25 13:07:13,sensor_E,warehouse_1,20.02,33.09
2025-10-25 13:07:14,sensor_A,warehouse_1,21.64,46.9
2025-10-25 13:07:16,sensor_A,office_floor_2,24.06,45.19
2025-10-25 13:07:17,sensor_B,datacenter,25.31,57.32
2025-10-25 13:07:18,sensor_B,datacenter,20.74,39.28
